ID,Transfers,Year
1048360,3,2016
1048760,3,2016
1049595,3,2016
1051442,3,2016
1051793,3,2016
1053331,3,2016
1054862,3,2016
1059639,3,2016
1064396,3,2016
1065220,3,2016
1066584,3,2016
1067635,3,2016
1072833,3,2016
1074316,3,2016
1075865,3,2016
1077364,3,2016
1077539,3,2016
1077709,3,2016
1080278,3,2016
1082793,3,2016
1084149,3,2016
1085087,3,2016
1086385,3,2016
1086831,3,2016
1087334,3,2016
1088583,3,2016
1088603,3,2016
1088605,3,2016
1088642,3,2016
1089862,3,2016
1091466,3,2016
1091519,3,2016
1091896,3,2016
1092770,3,2016
1093604,3,2016
1093835,3,2016
1094247,3,2016
1095066,3,2016
1095274,3,2016
1095501,3,2016
1095809,3,2016
1100853,3,2016
1100895,3,2016
1101551,3,2016
1102670,3,2016
1103227,3,2016
1104767,3,2016
1104797,3,2016
1105843,3,2016
1106651,3,2016
1107859,3,2016
1108307,3,2016
1109071,3,2016
1109980,3,2016
1110104,3,2016
1111617,3,2016
1111814,3,2016
1112184,3,2016
1112501,3,2016
1113807,3,2016
1115818,3,2016
1116119,3,2016
1117081,3,2016
1117241,3,2016
1118242,3,2016
1119450,3,2016
1119732,3,2016
1119751,3,2016
1121811,3,2016
1121945,3,2016
1122927,3,2016
1123522,3,2016
1124345,3,2016
1124499,3,2016
1124745,3,2016
1125084,3,2016
1126054,3,2016
1127221,3,2016
1127467,3,2016
1127708,3,2016
1128125,3,2016
1128550,3,2016
1130370,3,2016
1130412,3,2016
1130902,3,2016
1131228,3,2016
1132369,3,2016
1132440,3,2016
1132627,3,2016
1132667,3,2016
1132920,3,2016
1134369,3,2016
1134651,3,2016
1134689,3,2016
1135136,3,2016
1135291,3,2016
1135573,3,2016
1135583,3,2016
1135590,3,2016
1136192,3,2016
1136931,3,2016
1136932,3,2016
1137060,3,2016
1137663,3,2016
1138075,3,2016
1138771,3,2016
1139025,3,2016
1139655,3,2016
1139713,3,2016
1140247,3,2016
1140615,3,2016
1141103,3,2016
1141906,3,2016
1143021,3,2016
1143125,3,2016
1143291,3,2016
1145123,3,2016
1147608,3,2016
1147907,3,2016
1147975,3,2016
81168,2,2016
83848,2,2016
87390,2,2016
92095,2,2016
106538,2,2016
113712,2,2016
117033,2,2016
117981,2,2016
118127,2,2016
118146,2,2016
118261,2,2016
118829,2,2016
119845,2,2016
119939,2,2016
121471,2,2016
121683,2,2016
122896,2,2016
123365,2,2016
123650,2,2016
123788,2,2016
124395,2,2016
124760,2,2016
125190,2,2016
125661,2,2016
125888,2,2016
126828,2,2016
127671,2,2016
127678,2,2016
127816,2,2016
127992,2,2016
128030,2,2016
129624,2,2016
130062,2,2016
130245,2,2016
130497,2,2016
130554,2,2016
131308,2,2016
131330,2,2016
132266,2,2016
133150,2,2016
133260,2,2016
133854,2,2016
135426,2,2016
135867,2,2016
136537,2,2016
136919,2,2016
138745,2,2016
138793,2,2016
138843,2,2016
139056,2,2016
139455,2,2016
139581,2,2016
139869,2,2016
139949,2,2016
140175,2,2016
140809,2,2016
141062,2,2016
141965,2,2016
142152,2,2016
142970,2,2016
143241,2,2016
145262,2,2016
145584,2,2016
145586,2,2016
145913,2,2016
146771,2,2016
147312,2,2016
147920,2,2016
148731,2,2016
148739,2,2016
150134,2,2016
151388,2,2016
153657,2,2016
162396,2,2016
163080,2,2016
163564,2,2016
165860,2,2016
166020,2,2016
166381,2,2016
169541,2,2016
170661,2,2016
175011,2,2016
175141,2,2016
177109,2,2016
177143,2,2016
177545,2,2016
178667,2,2016
178735,2,2016
178892,2,2016
182774,2,2016
183313,2,2016
183526,2,2016
183732,2,2016
185588,2,2016
185777,2,2016
186322,2,2016
189303,2,2016
190947,2,2016
193510,2,2016
194722,2,2016
195334,2,2016
196164,2,2016
197077,2,2016
197299,2,2016
197654,2,2016
198499,2,2016
198968,2,2016
200188,2,2016
200359,2,2016
202051,2,2016
202117,2,2016
202227,2,2016
203519,2,2016
203646,2,2016
204058,2,2016
205578,2,2016
206184,2,2016
206191,2,2016
206602,2,2016
207437,2,2016
